Departamento,Capital,Pob2007,Pob2017,CodDepartamento
Amazonas,Chachapoyas,"375.993,00","379.384,00",1
Áncash,Huaraz,"1.063.459,00","1.083.519,00",2
Apurímac,Abancay,"404.190,00","405.759,00",3
Arequipa,Arequipa,"1.152.303,00","1.382.730,00",4
Ayacucho,Ayacucho,"612.489,00","616.176,00",5
Cajamarca,Cajamarca,"1.387.809,00","1.341.012,00",6
Callao,Callao,"876.877,00","994.494,00",7
Cusco,Cuzco,"1.171.403,00","1.205.527,00",8
Huancavelica,Huancavelica,"454.797,00","347.639,00",9
Huánuco,Huánuco,"762.223,00","721.047,00",10
Ica,Ica,"711.932,00","850.765,00",11
Junín,Huancayo,"1.225.474,00","1.246.038,00",12
La Libertad,Trujillo,"1.617.050,00","1.778.080,00",13
Lambayeque,Chiclayo,"1.112.868,00","1.197.260,00",14
Lima,Lima,"8.445.211,00","9.485.405,00",15
Loreto,Iquitos,"891.732,00","883.510,00",16
Madre de Dios,Puerto Maldonado,"109.555,00","141.070,00",17
Moquegua,Moquegua,"161.533,00","174.863,00",18
Pasco,Cerro de Pasco,"280.449,00","254.065,00",19
Piura,Piura,"1.676.315,00","1.856.809,00",20
Puno,Puno,"1.268.441,00","1.172.697,00",21
San Martín,Moyobamba,"728.808,00","813.381,00",22
Tacna,Tacna,"288.781,00","329.332,00",23
Tumbes,Tumbes,"200.306,00","224.863,00",24
Ucayali,Pucallpa,"432.159,00","496.459,00",25